date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:15	6751/6751	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Feb%202009%2002:28:35%20GMT	http://www.geocities.com/robots.txt		(from )
21:05:15	3457/3457	---M--	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202009%2003:44:12%20GMT	http://www.geocities.com/fallowbudgies/	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/index.html	(from )
21:05:17	8185/8185	---M--	200	added ('OK')	text/html	date:Sat,%2030%20May%202009%2017:48:06%20GMT	http://www.geocities.com/fallowbudgies/news1.htm	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/news1.htm	(from )
21:05:19	92070/92070	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202009%2003:44:12%20GMT	http://www.geocities.com/fallowbudgies/back001.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/back001.jpg	(from )
21:05:20	2020/2020	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Nov%202004%2006:44:23%20GMT	http://www.geocities.com/fallowbudgies/thumb302.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/thumb302.jpg	(from )
21:05:21	18490/18490	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Mar%202006%2005:01:36%20GMT	http://www.geocities.com/fallowbudgies/Fallint1.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/Fallint1.jpg	(from )
21:05:21	1614/1614	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jun%202004%2009:53:24%20GMT	http://www.geocities.com/fallowbudgies/thumb613.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/thumb613.jpg	(from )
21:05:21	1784/1784	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20Aug%202004%2006:27:26%20GMT	http://www.geocities.com/fallowbudgies/thumb617.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/thumb617.jpg	(from )
21:05:22	8557/8557	---M--	200	added ('OK')	text/html	date:Sat,%2030%20May%202009%2017:48:06%20GMT	http://www.geocities.com/fallowbudgies/news1g.htm	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/news1g.htm	(from )
21:05:23	19263/19263	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Mar%202006%2005:01:36%20GMT	http://www.geocities.com/fallowbudgies/Falbint1.jpg	C:/Users/bert/Website/Fallow2/www.geocities.com/fallowbudgies/Falbint1.jpg	(from )
21:05:23	407/407	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Feb%202009%2014:01:53%20GMT	http://us.i1.yimg.com/us.yimg.com/i/mc/mc.js	C:/Users/bert/Website/Fallow2/us.i1.yimg.com/us.yimg.com/i/mc/mc.js	(from )
21:05:24	662/662	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2018%20Jul%202007%2001:59:33%20GMT	http://us.js2.yimg.com/us.js.yimg.com/lib/smb/js/hosting/cp/js_source/geov2_001.js	C:/Users/bert/Website/Fallow2/us.js2.yimg.com/us.js.yimg.com/lib/smb/js/hosting/cp/js_source/geov2_001.js	(from )
